,Survived,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,s_male,p_2,p_3
52,1,29.0,1,0,26.0,0,1,0
53,0,65.0,0,1,61.9792,1,0,0
54,1,46.0,0,0,35.5,1,0,0
55,1,21.0,0,0,10.5,0,1,0
56,0,28.5,0,0,7.2292,1,0,1
57,1,5.0,1,2,27.75,0,1,0
58,0,11.0,5,2,46.9,1,0,1
59,0,22.0,0,0,7.2292,1,0,1
60,1,38.0,0,0,80.0,0,0,0
61,0,45.0,1,0,83.475,1,0,0
62,0,4.0,3,2,27.9,1,0,1
63,0,64.0,0,0,27.7208,1,0,0
64,1,7.0,1,1,15.2458,1,0,1
65,1,29.0,0,0,10.5,0,1,0
66,0,19.0,0,0,8.1583,1,0,1
67,1,17.0,4,2,7.925,0,0,1
68,0,26.0,2,0,8.6625,1,0,1
69,0,32.0,0,0,10.5,1,1,0
70,0,16.0,5,2,46.9,0,0,1
71,0,21.0,0,0,73.5,1,1,0
72,0,26.0,1,0,14.4542,1,0,1
73,1,32.0,0,0,56.4958,1,0,1
74,0,25.0,0,0,7.65,1,0,1
75,0,23.0,0,0,7.8958,1,0,1
76,0,28.0,0,0,8.05,1,0,1
77,1,0.83,0,2,29.0,1,1,0
78,1,30.0,0,0,12.475,0,0,1
79,0,22.0,0,0,9.0,1,0,1
80,1,29.0,0,0,9.5,1,0,1
81,1,31.0,0,0,7.7875,0,0,1
82,0,28.0,0,0,47.1,1,0,0
83,1,17.0,0,0,10.5,0,1,0
84,1,33.0,3,0,15.85,0,0,1
85,0,16.0,1,3,34.375,1,0,1
86,0,20.0,0,0,8.05,1,0,1
87,1,23.0,3,2,263.0,0,0,0
88,0,24.0,0,0,8.05,1,0,1
89,0,29.0,0,0,8.05,1,0,1
90,0,20.0,0,0,7.8542,1,0,1
91,0,46.0,1,0,61.175,1,0,0
92,0,26.0,1,2,20.575,1,0,1
93,0,59.0,0,0,7.25,1,0,1
94,0,22.0,0,0,8.05,1,0,1
95,0,71.0,0,0,34.6542,1,0,0
96,1,23.0,0,1,63.3583,1,0,0
97,1,34.0,0,1,23.0,0,1,0
98,0,34.0,1,0,26.0,1,1,0
99,0,28.0,0,0,7.8958,0,0,1
100,0,29.0,0,0,7.8958,1,0,1
101,0,21.0,0,1,77.2875,1,0,0
102,0,33.0,0,0,8.6542,1,0,1
103,0,37.0,2,0,7.925,1,0,1
104,0,28.0,0,0,7.8958,1,0,1
105,1,21.0,0,0,7.65,0,0,1
106,1,29.0,0,0,7.775,1,0,1
107,0,38.0,0,0,7.8958,1,0,1
108,1,28.0,1,0,24.15,0,0,1
109,0,47.0,0,0,52.0,1,0,0
110,0,14.5,1,0,14.4542,0,0,1
111,0,22.0,0,0,8.05,1,0,1
112,0,20.0,1,0,9.825,0,0,1
113,0,17.0,0,0,14.4583,0,0,1
114,0,21.0,0,0,7.925,1,0,1
115,0,70.5,0,0,7.75,1,0,1
116,0,29.0,1,0,21.0,1,1,0
117,0,24.0,0,1,247.5208,1,0,0
118,0,2.0,4,2,31.275,0,0,1
119,0,21.0,2,0,73.5,1,1,0
120,0,19.0,0,0,8.05,1,0,1
121,0,32.5,1,0,30.0708,1,1,0
122,1,32.5,0,0,13.0,0,1,0
123,0,54.0,0,1,77.2875,1,0,0
124,1,12.0,1,0,11.2417,1,0,1
125,0,19.0,0,0,7.75,1,0,1
126,1,24.0,0,0,7.1417,1,0,1
127,1,2.0,1,1,22.3583,0,0,1
128,0,45.0,0,0,6.975,1,0,1
129,0,33.0,0,0,7.8958,1,0,1
130,0,20.0,0,0,7.05,1,0,1
131,0,47.0,1,0,14.5,0,0,1
132,1,29.0,1,0,26.0,0,1,0
133,0,25.0,0,0,13.0,1,1,0
134,0,23.0,0,0,15.0458,1,1,0
135,1,19.0,0,2,26.2833,0,0,0
136,0,37.0,1,0,53.1,1,0,0
137,0,16.0,0,0,9.2167,1,0,1
138,0,24.0,0,0,79.2,1,0,0
139,0,40.0,0,2,15.2458,0,0,1
140,1,22.0,0,0,7.75,0,0,1
141,1,24.0,1,0,15.85,0,0,1
142,0,19.0,0,0,6.75,1,0,1
143,0,18.0,0,0,11.5,1,1,0
144,0,19.0,1,1,36.75,1,1,0
145,1,27.0,0,0,7.7958,1,0,1
146,0,9.0,2,2,34.375,0,0,1
147,0,36.5,0,2,26.0,1,1,0
148,0,42.0,0,0,13.0,1,1,0
149,0,51.0,0,0,12.525,1,1,0
150,1,22.0,1,0,66.6,0,0,0
151,0,55.5,0,0,8.05,1,0,1
152,0,40.5,0,2,14.5,1,0,1
153,0,27.0,0,0,7.3125,1,0,1
154,0,51.0,0,1,61.3792,1,0,0
155,1,16.0,0,0,7.7333,0,0,1
156,0,30.0,0,0,8.05,1,0,1
157,0,37.0,0,0,8.6625,1,0,1
158,0,5.0,8,2,69.55,1,0,1
159,0,44.0,0,1,16.1,1,0,1
160,1,40.0,0,0,15.75,0,1,0
161,0,26.0,0,0,7.775,1,0,1
162,0,17.0,0,0,8.6625,1,0,1
163,0,1.0,4,1,39.6875,1,0,1
164,1,9.0,0,2,20.525,1,0,1
165,1,48.0,0,1,55.0,0,0,0
166,0,45.0,1,4,27.9,0,0,1
167,0,60.0,0,0,25.925,1,0,0
168,0,28.0,0,0,56.4958,1,0,1
169,0,61.0,0,0,33.5,1,0,0
170,0,4.0,4,1,29.125,1,0,1
171,1,1.0,1,1,11.1333,0,0,1
172,0,21.0,0,0,7.925,1,0,1
173,0,56.0,0,0,30.6958,1,0,0
174,0,18.0,1,1,7.8542,1,0,1
175,0,5.0,3,1,25.4667,1,0,1
176,0,50.0,0,0,28.7125,0,0,0
177,0,30.0,0,0,13.0,1,1,0
178,0,36.0,0,0,0.0,1,0,1
179,0,8.0,8,2,69.55,0,0,1
180,0,39.0,0,0,15.05,1,1,0
181,0,9.0,4,2,31.3875,1,0,1
182,1,1.0,2,1,39.0,1,1,0
183,1,4.0,0,2,22.025,0,0,1
184,0,39.0,0,0,50.0,1,0,0
185,1,26.0,1,0,15.5,0,0,1
186,1,45.0,0,0,26.55,1,0,0
187,0,40.0,1,1,15.5,1,0,1
188,0,36.0,0,0,7.8958,1,0,1
189,1,32.0,0,0,13.0,0,1,0
190,0,19.0,0,0,13.0,1,1,0
191,1,19.0,1,0,7.8542,0,0,1
192,1,3.0,1,1,26.0,1,1,0
193,1,44.0,0,0,27.7208,0,0,0
194,1,58.0,0,0,146.5208,0,0,0
195,0,28.0,0,0,7.75,1,0,1
196,0,42.0,0,1,8.4042,1,0,1
197,1,21.0,0,0,7.75,0,0,1
198,0,24.0,0,0,13.0,0,1,0
199,0,28.0,0,0,9.5,1,0,1
200,0,17.0,8,2,69.55,1,0,1
201,0,34.0,0,0,6.4958,1,0,1
202,0,45.5,0,0,7.225,1,0,1
203,1,18.0,0,0,8.05,1,0,1
204,0,2.0,0,1,10.4625,0,0,1
205,0,32.0,1,0,15.85,1,0,1
206,1,26.0,0,0,18.7875,1,0,1
207,1,16.0,0,0,7.75,0,0,1
208,1,40.0,0,0,31.0,1,0,0
209,0,24.0,0,0,7.05,1,0,1
210,1,35.0,0,0,21.0,0,1,0
211,0,22.0,0,0,7.25,1,0,1
212,0,30.0,0,0,13.0,1,1,0
213,0,22.0,1,0,7.75,1,0,1
214,1,31.0,1,0,113.275,0,0,0
215,1,27.0,0,0,7.925,0,0,1
216,0,42.0,1,0,27.0,1,1,0
217,1,32.0,0,0,76.2917,0,0,0
218,0,30.0,0,0,10.5,1,1,0
219,1,16.0,0,0,8.05,1,0,1
220,0,27.0,0,0,13.0,1,1,0
221,0,51.0,0,0,8.05,1,0,1
222,0,22.0,0,0,7.8958,1,0,1
223,1,38.0,1,0,90.0,1,0,0
224,0,22.0,0,0,9.35,1,0,1
225,1,19.0,0,0,10.5,1,1,0
226,0,20.5,0,0,7.25,1,0,1
227,0,18.0,0,0,13.0,1,1,0
228,0,12.0,3,1,25.4667,0,0,1
229,1,35.0,1,0,83.475,0,0,0
230,0,29.0,0,0,7.775,1,0,1
231,0,59.0,0,0,13.5,1,1,0
232,1,5.0,4,2,31.3875,0,0,1
233,0,24.0,0,0,10.5,1,1,0
234,0,21.0,0,0,7.55,0,0,1
235,0,44.0,1,0,26.0,1,1,0
236,1,8.0,0,2,26.25,0,1,0
237,0,19.0,0,0,10.5,1,1,0
238,0,33.0,0,0,12.275,1,1,0
239,0,19.0,1,0,14.4542,0,0,1
240,1,18.0,1,0,15.5,0,0,1
241,0,29.0,0,0,10.5,1,1,0
242,0,22.0,0,0,7.125,1,0,1
243,0,30.0,0,0,7.225,1,0,1
244,0,44.0,2,0,90.0,1,0,0
245,0,25.0,0,0,7.775,0,0,1
246,1,24.0,0,2,14.5,0,1,0
247,1,37.0,1,1,52.5542,1,0,0
248,0,54.0,1,0,26.0,1,1,0
249,0,18.0,0,0,7.25,1,0,1
250,0,29.0,1,1,10.4625,0,0,1
251,0,62.0,0,0,26.55,1,0,0
252,0,30.0,1,0,16.1,1,0,1
253,0,41.0,0,2,20.2125,0,0,1
254,1,29.0,0,2,15.2458,0,0,1
255,1,38.0,0,0,79.2,0,0,0
256,1,30.0,0,0,86.5,0,0,0
257,1,35.0,0,0,512.3292,0,0,0
258,1,50.0,0,1,26.0,0,1,0
259,1,3.0,4,2,31.3875,1,0,1
260,0,52.0,1,1,79.65,1,0,0
261,0,40.0,0,0,0.0,1,0,0
262,0,21.0,0,0,7.75,0,0,1
263,0,36.0,0,0,10.5,1,1,0
264,0,16.0,4,1,39.6875,1,0,1
265,1,25.0,1,0,7.775,1,0,1
266,1,58.0,0,1,153.4625,0,0,0
267,1,35.0,0,0,135.6333,0,0,0
268,0,28.0,0,0,31.0,1,0,0
269,1,25.0,0,0,0.0,1,0,1
270,1,41.0,0,1,19.5,0,1,0
271,0,37.0,0,1,29.7,1,0,0
272,1,33.0,0,0,7.75,0,0,1
273,1,63.0,1,0,77.9583,0,0,0
274,0,45.0,0,0,7.75,0,0,1
275,0,21.0,0,0,0.0,1,1,0
276,0,7.0,4,1,29.125,1,0,1
277,1,35.0,1,1,20.25,0,0,1
278,0,65.0,0,0,7.75,1,0,1
279,0,28.0,0,0,7.8542,1,0,1
280,0,16.0,0,0,9.5,1,0,1
281,1,19.0,0,0,8.05,1,0,1
282,0,57.0,0,0,26.0,1,0,0
283,0,33.0,0,0,8.6625,1,0,1
284,1,30.0,0,0,9.5,1,0,1
285,0,22.0,0,0,7.8958,1,0,1
286,1,42.0,0,0,13.0,1,1,0
287,1,22.0,0,0,7.75,0,0,1
288,1,26.0,0,0,78.85,0,0,0
289,1,19.0,1,0,91.0792,0,0,0
290,0,36.0,0,0,12.875,1,1,0
291,0,24.0,0,0,8.85,0,0,1
292,0,24.0,0,0,7.8958,1,0,1
293,0,30.0,0,0,27.7208,1,0,0
294,0,23.5,0,0,7.2292,1,0,1
295,0,2.0,1,2,151.55,0,0,0
296,1,47.0,0,0,30.5,1,0,0
297,1,50.0,0,1,247.5208,0,0,0
298,1,20.0,0,0,7.75,0,0,1
299,1,24.0,2,0,23.25,1,0,1
300,0,19.0,0,0,0.0,1,0,1
301,1,46.0,0,0,12.35,0,1,0
302,0,28.0,0,0,8.05,1,0,1
303,1,0.92,1,2,151.55,1,0,0
304,1,42.0,0,0,110.8833,0,0,0
305,1,17.0,1,0,108.9,0,0,0
306,0,30.0,1,0,24.0,1,1,0
307,1,30.0,0,0,56.9292,0,0,0
308,1,24.0,0,0,83.1583,0,0,0
309,1,18.0,2,2,262.375,0,0,0
310,0,26.0,1,1,26.0,0,1,0
311,0,28.0,0,0,7.8958,1,0,1
312,0,43.0,1,1,26.25,1,1,0
313,1,26.0,0,0,7.8542,0,0,1
314,1,24.0,1,0,26.0,0,1,0
315,0,54.0,0,0,14.0,1,1,0
316,1,31.0,0,2,164.8667,0,0,0
317,1,40.0,1,1,134.5,0,0,0
318,0,22.0,0,0,7.25,1,0,1
319,0,27.0,0,0,7.8958,1,0,1
320,1,30.0,0,0,12.35,0,1,0
321,1,22.0,1,1,29.0,0,1,0
322,0,20.0,8,2,69.55,1,0,1
323,1,36.0,0,0,135.6333,0,0,0
324,0,61.0,0,0,6.2375,1,0,1
325,1,36.0,0,0,13.0,0,1,0
326,1,31.0,1,1,20.525,0,0,1
327,1,16.0,0,1,57.9792,0,0,0
328,1,28.0,2,0,23.25,0,0,1
329,0,45.5,0,0,28.5,1,0,0
330,0,38.0,0,1,153.4625,1,0,0
331,0,16.0,2,0,18.0,1,0,1
332,1,42.0,1,0,133.65,0,0,0
333,0,30.0,0,0,7.8958,1,0,1
334,0,29.0,1,0,66.6,1,0,0
335,1,41.0,0,0,134.5,0,0,0
336,1,45.0,0,0,8.05,1,0,1
337,0,45.0,0,0,35.5,1,0,0
338,1,2.0,1,1,26.0,1,1,0
339,1,24.0,3,2,263.0,0,0,0
340,0,28.0,0,0,13.0,1,1,0
341,0,25.0,0,0,13.0,1,1,0
342,0,36.0,0,0,13.0,1,1,0
343,1,24.0,0,0,13.0,0,1,0
344,1,40.0,0,0,13.0,0,1,0
345,1,34.0,1,0,16.1,0,0,1
346,1,3.0,1,1,15.9,1,0,1
347,0,42.0,0,0,8.6625,1,0,1
348,0,23.0,0,0,9.225,1,0,1
349,0,43.0,0,0,35.0,1,0,0
350,0,15.0,1,1,7.2292,1,0,1
351,0,25.0,1,0,17.8,1,0,1
352,0,23.0,0,0,7.225,1,0,1
353,0,28.0,0,0,9.5,1,0,1
354,1,22.0,0,1,55.0,0,0,0
355,0,38.0,0,0,13.0,0,1,0
356,1,22.0,0,0,7.8792,0,0,1
357,1,23.0,0,0,7.8792,0,0,1
358,0,40.0,1,4,27.9,1,0,1
359,0,29.0,1,0,27.7208,1,1,0
360,0,45.0,0,1,14.4542,0,0,1
361,0,35.0,0,0,7.05,1,0,1
362,0,27.0,1,0,15.5,1,0,1
363,0,30.0,0,0,7.25,1,0,1
364,1,60.0,1,0,75.25,0,0,0
365,1,35.0,0,0,7.2292,0,0,1
366,1,22.0,0,0,7.75,0,0,1
367,1,24.0,0,0,69.3,0,0,0
368,1,25.0,1,0,55.4417,1,0,0
369,0,18.0,1,0,6.4958,1,0,1
370,0,19.0,0,0,8.05,1,0,1
371,0,22.0,0,0,135.6333,1,0,0
372,0,3.0,3,1,21.075,0,0,1
373,1,25.0,1,0,82.1708,0,0,0
374,1,22.0,0,0,7.25,0,0,1
375,0,27.0,0,2,211.5,1,0,0
376,0,20.0,0,0,4.0125,1,0,1
377,0,19.0,0,0,7.775,1,0,1
378,1,42.0,0,0,227.525,0,0,0
379,1,1.0,0,2,15.7417,0,0,1
380,0,32.0,0,0,7.925,1,0,1
381,1,35.0,1,0,52.0,0,0,0
382,0,27.0,0,0,7.8958,1,0,1
383,0,18.0,0,0,73.5,1,1,0
384,0,1.0,5,2,46.9,1,0,1
385,1,36.0,0,0,13.0,0,1,0
386,0,19.0,0,0,7.7292,1,0,1
387,1,17.0,0,0,12.0,0,1,0
388,1,36.0,1,2,120.0,1,0,0
389,1,21.0,0,0,7.7958,1,0,1
390,0,28.0,2,0,7.925,1,0,1
391,1,23.0,1,0,113.275,0,0,0
392,1,24.0,0,2,16.7,0,0,1
393,0,22.0,0,0,7.7958,1,0,1
394,0,31.0,0,0,7.8542,0,0,1
395,0,46.0,0,0,26.0,1,1,0
396,0,23.0,0,0,10.5,1,1,0
397,1,28.0,0,0,12.65,0,1,0
398,1,39.0,0,0,7.925,1,0,1
399,0,26.0,0,0,8.05,1,0,1
400,0,21.0,1,0,9.825,0,0,1
401,0,28.0,1,0,15.85,1,0,1
402,0,20.0,0,0,8.6625,0,0,1
403,0,34.0,1,0,21.0,1,1,0
404,0,51.0,0,0,7.75,1,0,1
405,1,3.0,1,1,18.75,1,1,0
406,0,21.0,0,0,7.775,1,0,1
407,0,3.0,3,1,25.4667,0,0,1
408,0,42.0,0,0,7.8958,1,0,1
409,0,27.0,0,0,6.8583,1,0,1
410,1,33.0,1,0,90.0,0,0,0
411,0,22.0,0,0,0.0,1,1,0
412,1,44.0,0,0,7.925,1,0,1
413,0,32.0,0,0,8.05,0,0,1
414,1,34.0,1,1,32.5,0,1,0
415,1,18.0,0,2,13.0,0,1,0
416,0,30.0,0,0,13.0,1,1,0
417,0,10.0,0,2,24.15,0,0,1
418,0,21.0,0,0,7.7333,1,0,1
419,0,29.0,0,0,7.875,1,0,1
420,0,28.0,1,1,14.4,0,0,1
421,0,18.0,1,1,20.2125,1,0,1
422,0,54.0,0,0,7.25,1,0,1
423,1,28.0,1,0,26.0,0,1,0
424,1,19.0,0,0,26.0,0,1,0
425,0,28.0,0,0,7.75,1,0,1
426,1,32.0,0,0,8.05,1,0,1
427,1,28.0,0,0,26.55,1,0,0
428,1,33.0,1,0,16.1,0,0,1
429,1,42.0,1,0,26.0,0,1,0
430,0,17.0,0,0,7.125,1,0,1
431,0,50.0,1,0,55.9,1,0,0
432,1,14.0,1,2,120.0,0,0,0
433,0,21.0,2,2,34.375,0,0,1
434,1,24.0,2,3,18.75,0,1,0
435,0,64.0,1,4,263.0,1,0,0
436,0,31.0,0,0,10.5,1,1,0
437,1,45.0,1,1,26.25,0,1,0
438,0,20.0,0,0,9.5,1,0,1
439,0,25.0,1,0,7.775,1,0,1
440,1,28.0,0,0,13.0,0,1,0
441,1,29.0,0,0,8.1125,1,0,1
442,1,4.0,0,2,81.8583,1,0,0
443,1,13.0,0,1,19.5,0,1,0
444,1,34.0,0,0,26.55,1,0,0
445,1,5.0,2,1,19.2583,0,0,1
446,1,52.0,0,0,30.5,1,0,0
447,0,36.0,1,2,27.75,1,1,0
448,0,28.0,1,0,19.9667,1,0,1
449,0,30.0,0,0,27.75,1,0,0
450,1,49.0,1,0,89.1042,1,0,0
451,0,24.0,0,0,8.05,1,0,1
452,1,29.0,0,0,7.8958,1,0,1
453,0,65.0,0,0,26.55,1,0,0
454,1,41.0,1,0,51.8625,0,0,0
455,1,50.0,0,0,10.5,0,1,0
456,0,17.0,0,0,7.75,1,0,1
457,1,48.0,0,0,26.55,1,0,0
458,0,34.0,0,0,8.05,1,0,1
459,0,47.0,0,0,38.5,1,0,0
460,0,48.0,0,0,13.0,1,1,0
461,0,34.0,0,0,8.05,1,0,1
462,0,38.0,0,0,7.05,1,0,1
463,0,21.0,0,0,0.0,1,1,0
464,0,56.0,0,0,26.55,1,0,0
465,0,22.0,0,0,7.725,1,0,1
466,1,0.75,2,1,19.2583,0,0,1
467,0,39.0,0,0,7.25,1,0,1
468,0,38.0,0,0,8.6625,1,0,1
469,1,33.0,1,2,27.75,0,1,0
470,1,23.0,0,0,13.7917,0,1,0
471,0,22.0,0,0,9.8375,0,0,1
472,0,40.0,0,0,52.0,1,0,0
473,0,34.0,1,0,21.0,1,1,0
474,0,29.0,1,0,7.0458,1,0,1
475,0,22.0,0,0,7.5208,1,0,1
476,1,2.0,0,1,12.2875,0,0,1
477,0,9.0,5,2,46.9,1,0,1
478,0,37.0,0,0,0.0,1,1,0
479,0,50.0,0,0,8.05,1,0,1
480,1,63.0,0,0,9.5875,0,0,1
481,1,25.0,1,0,91.0792,1,0,0
482,0,8.0,3,1,25.4667,0,0,1
483,1,35.0,1,0,90.0,0,0,0
484,0,58.0,0,0,29.7,1,0,0
485,0,30.0,0,0,8.05,1,0,1
486,1,9.0,1,1,15.9,1,0,1
487,0,19.0,1,0,19.9667,1,0,1
488,0,21.0,0,0,7.25,1,0,1
489,0,55.0,0,0,30.5,1,0,0
490,0,71.0,0,0,49.5042,1,0,0
491,0,21.0,0,0,8.05,1,0,1
492,0,26.0,0,0,14.4583,1,0,1
493,1,54.0,1,0,78.2667,0,0,0
494,0,55.0,0,0,15.1,1,0,1
495,0,25.0,1,2,151.55,0,0,0
496,0,24.0,0,0,7.7958,1,0,1
497,0,17.0,0,0,8.6625,1,0,1
498,0,21.0,0,0,7.75,0,0,1
499,0,21.0,0,0,7.6292,0,0,1
500,0,37.0,0,0,9.5875,0,0,1
501,1,16.0,0,0,86.5,0,0,0
502,0,18.0,1,0,108.9,1,0,0
503,1,33.0,0,2,26.0,0,1,0
504,1,37.0,0,0,26.55,1,0,0
505,0,28.0,0,0,22.525,1,0,1
506,1,26.0,0,0,56.4958,1,0,1
507,1,29.0,0,0,7.75,1,0,1
508,0,66.0,0,0,8.05,1,0,1
509,1,36.0,0,0,26.2875,1,0,0
510,1,54.0,1,0,59.4,0,0,0
511,0,24.0,0,0,7.4958,1,0,1
512,0,47.0,0,0,34.0208,1,0,0
513,1,34.0,0,0,10.5,0,1,0
514,0,30.0,0,0,24.15,1,0,1
515,1,36.0,1,0,26.0,0,1,0
516,0,32.0,0,0,7.8958,1,0,1
517,1,30.0,0,0,93.5,0,0,0
518,0,22.0,0,0,7.8958,1,0,1
519,0,35.0,0,0,7.225,1,0,1
520,1,44.0,0,1,57.9792,0,0,0
521,0,18.0,0,0,7.2292,1,0,1
522,0,40.5,0,0,7.75,1,0,1
523,1,50.0,0,0,10.5,0,1,0
524,0,49.0,0,0,221.7792,1,0,0
525,0,39.0,0,0,7.925,1,0,1
526,0,23.0,2,1,11.5,1,1,0
527,1,2.0,1,1,26.0,0,1,0
528,0,17.0,0,0,7.2292,1,0,1
529,0,17.0,1,1,7.2292,1,0,1
530,1,24.0,0,2,22.3583,0,0,1
531,0,30.0,0,0,8.6625,0,0,1
532,1,7.0,0,2,26.25,0,1,0
533,0,45.0,0,0,26.55,1,0,0
534,1,30.0,0,0,106.425,0,0,0
535,0,69.0,0,0,14.5,1,0,1
536,1,22.0,0,2,49.5,0,0,0
537,1,36.0,0,2,71.0,0,0,0
538,0,9.0,4,2,31.275,0,0,1
539,0,11.0,4,2,31.275,0,0,1
540,1,32.0,1,0,26.0,1,1,0
541,0,50.0,1,0,106.425,1,0,0
542,0,64.0,0,0,26.0,1,0,0
543,1,19.0,1,0,26.0,0,1,0
544,1,27.0,0,0,13.8625,1,1,0
545,0,33.0,1,1,20.525,1,0,1
546,1,8.0,1,1,36.75,1,1,0
547,1,17.0,0,2,110.8833,1,0,0
548,0,27.0,0,0,26.0,1,1,0
549,0,21.0,0,0,7.8292,1,0,1
550,1,22.0,0,0,7.225,1,0,1
551,1,22.0,0,0,7.775,0,0,1
552,0,62.0,0,0,26.55,1,0,0
553,1,48.0,1,0,39.6,0,0,0
554,0,45.0,0,0,227.525,1,0,0
555,1,39.0,1,1,79.65,0,0,0
556,1,36.0,1,0,17.4,0,0,1
557,0,30.0,0,0,7.75,1,0,1
558,0,40.0,0,0,7.8958,1,0,1
559,0,28.0,0,0,13.5,1,1,0
560,0,40.0,0,0,8.05,1,0,1
561,0,62.0,0,0,8.05,0,0,1
562,0,24.0,2,0,24.15,1,0,1
563,0,19.0,0,0,7.8958,1,0,1
564,0,29.0,0,4,21.075,0,0,1
565,0,28.0,0,0,7.2292,1,0,1
566,1,32.0,0,0,7.8542,1,0,1
567,1,62.0,0,0,10.5,1,1,0
568,1,53.0,2,0,51.4792,0,0,0
569,1,36.0,0,0,26.3875,1,0,0
570,1,22.0,0,0,7.75,0,0,1
571,0,16.0,0,0,8.05,1,0,1
572,0,19.0,0,0,14.5,1,0,1
573,1,34.0,0,0,13.0,0,1,0
574,1,39.0,1,0,55.9,0,0,0
575,0,18.0,1,0,14.4583,0,0,1
576,1,32.0,0,0,7.925,1,0,1
577,1,25.0,1,1,30.0,0,1,0
578,1,39.0,1,1,110.8833,0,0,0
579,0,54.0,0,0,26.0,1,1,0
580,0,36.0,0,0,40.125,1,0,0
581,0,16.0,0,0,8.7125,1,0,1
582,1,18.0,0,2,79.65,0,0,0
583,0,47.0,0,0,15.0,1,1,0
584,1,60.0,1,1,79.2,1,0,0
585,0,22.0,0,0,8.05,1,0,1
586,0,22.0,0,0,8.05,1,0,1
587,0,35.0,0,0,7.125,1,0,1
588,1,52.0,1,0,78.2667,0,0,0
589,0,47.0,0,0,7.25,1,0,1
590,0,40.0,0,2,7.75,0,0,1
591,0,37.0,1,0,26.0,1,1,0
592,0,36.0,1,1,24.15,1,0,1
593,1,31.0,0,0,33.0,0,1,0
594,0,49.0,0,0,0.0,1,0,1
595,0,18.0,0,0,7.225,1,0,1
596,1,49.0,1,0,56.9292,1,0,0
597,1,24.0,2,1,27.0,0,1,0
598,0,42.0,0,0,7.8958,1,0,1
599,0,37.0,0,0,42.4,1,0,0
600,0,44.0,0,0,8.05,1,0,1
601,1,35.0,0,0,26.55,1,0,0
602,0,36.0,1,0,15.55,1,0,1
603,0,30.0,0,0,7.8958,1,0,1
604,1,27.0,0,0,30.5,1,0,0
605,1,22.0,1,2,41.5792,0,1,0
606,1,40.0,0,0,153.4625,0,0,0
607,0,39.0,1,5,31.275,0,0,1
608,0,21.0,0,0,7.05,1,0,1
609,1,18.0,1,0,15.5,0,0,1
610,0,22.0,0,0,7.75,1,0,1
611,0,35.0,0,0,8.05,1,0,1
612,1,24.0,1,2,65.0,0,1,0
613,0,34.0,1,1,14.4,1,0,1
614,0,26.0,1,0,16.1,0,0,1
615,1,4.0,2,1,39.0,0,1,0
616,0,26.0,0,0,10.5,1,1,0
617,0,27.0,1,0,14.4542,1,0,1
618,1,42.0,1,0,52.5542,1,0,0
619,1,20.0,1,1,15.7417,1,0,1
620,0,21.0,0,0,7.8542,1,0,1
621,0,21.0,0,0,16.1,1,0,1
622,0,61.0,0,0,32.3208,1,0,0
